trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-330.84719452892625,"{0: 86, 1: 14, 2: 10, 3: 5, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,-100,-623.1379141747414,"{0: 77, 1: 21, 2: 23, 3: 8, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-100,-377.44172091728274,"{0: 84, 1: 17, 2: 11, 3: 10, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-542.457601772663,"{0: 77, 1: 19, 2: 10, 3: 5, 4: 9}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-443.8152821342329,"{0: 76, 1: 25, 2: 13, 3: 7, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,-100,-330.7901182078228,"{0: 93, 1: 12, 2: 13, 3: 10, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-563.3743600572706,"{0: 83, 1: 15, 2: 9, 3: 10, 4: 8}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-34,-224.5610007113077,"{0: 34, 1: 7, 2: 8, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-418.23988487322725,"{0: 81, 1: 16, 2: 10, 3: 8, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-568.4658118127735,"{0: 77, 1: 19, 2: 9, 3: 5, 4: 10}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-471.1295633681243,"{0: 80, 1: 14, 2: 14, 3: 5, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-62,-425.47731530758296,"{0: 53, 1: 11, 2: 12, 3: 6, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-75,-445.4387107715494,"{0: 59, 1: 9, 2: 16, 3: 6, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-53,-430.1208136371784,"{0: 45, 1: 14, 2: 10, 3: 2, 4: 7}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-9,-154.54112236845396,"{0: 14, 1: 5, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,2,-117.56788493039693,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,-89,-526.5878389899354,"{0: 75, 1: 10, 2: 15, 3: 6, 4: 8}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,-100,-561.1247661089981,"{0: 79, 1: 21, 2: 18, 3: 4, 4: 8}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-542.5330436924804,"{0: 80, 1: 12, 2: 15, 3: 4, 4: 9}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,-100,-534.460016114911,"{0: 87, 1: 10, 2: 19, 3: 7, 4: 7}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-13,-187.59984895366583,"{0: 20, 1: 4, 2: 2, 3: 5, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-100,-534.5983664255966,"{0: 79, 1: 17, 2: 15, 3: 7, 4: 7}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-597.7199753547028,"{0: 74, 1: 16, 2: 15, 3: 6, 4: 9}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-91,-517.130335528981,"{0: 66, 1: 21, 2: 10, 3: 7, 4: 7}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-100,-461.92556572322746,"{0: 81, 1: 11, 2: 16, 3: 6, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-439.93266315352207,"{0: 80, 1: 14, 2: 17, 3: 2, 4: 7}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,-100,-676.0956977746289,"{0: 85, 1: 10, 2: 18, 3: 6, 4: 11}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-9,-38.99348920726762,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-100,-735.6420551715861,"{0: 75, 1: 22, 2: 13, 3: 9, 4: 11}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-41,-203.65358755756006,"{0: 44, 1: 3, 2: 10, 3: 0, 4: 4}",0
